"AgeGroup","YearBin","mean_hours_away_grid","share_no_travel_grid"
"10-17","2007–2009",7.15731159950983,0
"10-17","2010–2012",6.85595909966138,0
"10-17","2013–2015",6.92748735244519,0
"10-17","2016–2018",6.98888901897882,0
"10-17","2019–2021",6.54853044837415,0
"10-17","2022–2024",6.68405634254986,0
"18-30","2007–2009",6.17587051142546,0
"18-30","2010–2012",5.84893697280031,0
"18-30","2013–2015",5.33229207340882,0
"18-30","2016–2018",5.67282301467457,0
"18-30","2019–2021",5.16576894709787,0
"18-30","2022–2024",5.20836893899716,0
"31-55","2007–2009",5.84388792523411,0
"31-55","2010–2012",5.65432358211668,0
"31-55","2013–2015",5.62625442033834,0
"31-55","2016–2018",5.99727161429487,0
"31-55","2019–2021",4.89671468113443,0
"31-55","2022–2024",4.97701155351168,0
"56-65","2007–2009",3.60328184649564,0
"56-65","2010–2012",3.44230963877659,0
"56-65","2013–2015",3.57702415217119,0
"56-65","2016–2018",4.35310777183552,0
"56-65","2019–2021",3.90765746145135,0
"56-65","2022–2024",4.06526565807817,0
"66+","2007–2009",1.73122936115269,0
"66+","2010–2012",1.63663107863967,0
"66+","2013–2015",1.64430275204916,0
"66+","2016–2018",1.79011098342576,0
"66+","2019–2021",1.53390635889422,0
"66+","2022–2024",1.65648567953113,0
