"AgeGroup","mean_hour","median_hour","peak_hour","morning_6_12","midday_12_18","evening_18_24","total_away","sd_hour","Period"
"10-17",12.966323461139,12.1263157894737,11.1157894736842,0.454329527450659,0.419893980962857,0.115410957538741,0.989846807949886,3.5861699376542,"Baseline"
"18-30",13.929821843238,13.3894736842105,11.8736842105263,0.348098974630486,0.45651219256452,0.172334643531482,0.978496680483835,3.86548362456952,"Baseline"
"31-55",13.0275220237648,12.6315789473684,11.3684210526316,0.422621836237258,0.464745699757033,0.100834004803393,0.99122038163648,3.58488875705399,"Baseline"
"56-65",13.3916515242461,12.8842105263158,11.1157894736842,0.395541088431854,0.458261704600213,0.130631944973286,0.987634250941612,3.71890183678159,"Baseline"
"66+",14.2107540037335,13.6421052631579,11.1157894736842,0.312030840869069,0.509625279754811,0.165781253503994,0.988121933688623,3.53092121485261,"Baseline"
"10-17",13.1336130116507,12.3789473684211,10.8631578947368,0.444244418424853,0.416454179506015,0.127172553110132,0.988030232167261,3.67791056670703,"2007–2009"
"10-17",13.0824166976919,12.3789473684211,10.8631578947368,0.452548523627738,0.406561073978237,0.129719674980621,0.988983233374445,3.68785832224043,"2010–2012"
"10-17",12.8464824321525,12.1263157894737,11.1157894736842,0.46391049191974,0.418191833503351,0.106839516586385,0.989491803022358,3.53418105292394,"2013–2015"
"10-17",12.8632905524177,12.1263157894737,11.3684210526316,0.455442497341457,0.434820211738464,0.102340183012978,0.992639774745188,3.46970346182414,"2016–2018"
"10-17",12.7181739396557,12.1263157894737,12.1263157894737,0.467205552909387,0.435705288291728,0.0905583046408934,0.993784040355235,3.38250035261087,"2019–2021"
"10-17",12.8683536004447,12.1263157894737,11.1157894736842,0.462259545599826,0.418437183979849,0.109249907569523,0.990005621950153,3.53429129816573,"2022–2024"
"18-30",14.0550479239386,13.3894736842105,12.3789473684211,0.336933571800486,0.454517968846664,0.182273564278042,0.974572456358453,3.89738247401469,"2007–2009"
"18-30",14.0421419486997,13.3894736842105,11.6210526315789,0.342215285831353,0.447383549581058,0.1848294705249,0.976136182232717,3.91915708398177,"2010–2012"
"18-30",13.7619369422372,13.1368421052632,11.6210526315789,0.361572882469407,0.462200804106772,0.15540461785914,0.980272671172737,3.77902717470193,"2013–2015"
"18-30",13.8483143118303,13.3894736842105,12.6315789473684,0.350366058180036,0.465890754162628,0.163560073063028,0.981598524637436,3.81017356981935,"2016–2018"
"18-30",13.9602942228983,13.3894736842105,11.3684210526316,0.34177174454637,0.471992340453323,0.166492326866186,0.981278777971446,3.79915149175288,"2019–2021"
"18-30",13.7193296369067,13.1368421052632,11.6210526315789,0.370631554535091,0.445942113624396,0.162615077672941,0.981710138833779,3.86035903270036,"2022–2024"
"31-55",13.0919399522276,12.6315789473684,11.3684210526316,0.418353482315925,0.464681618431477,0.105165650848402,0.990801681950666,3.60686215020222,"2007–2009"
"31-55",12.9870822634865,12.6315789473684,11.3684210526316,0.428166690441992,0.463017069151396,0.0978330923566658,0.991723048086264,3.56086242735255,"2010–2012"
"31-55",12.9970654225772,12.6315789473684,11.1157894736842,0.424928237336883,0.466363842684583,0.097031048255464,0.991166378672875,3.56733010470823,"2013–2015"
"31-55",13.100677479479,12.6315789473684,11.3684210526316,0.415338995363382,0.462833922642861,0.108803761944192,0.99039165567184,3.63832445937325,"2016–2018"
"31-55",13.1352316080922,12.6315789473684,11.8736842105263,0.413103586335107,0.467326387803778,0.108737986424094,0.991565997745822,3.61821138965108,"2019–2021"
"31-55",12.8736860619594,12.3789473684211,11.3684210526316,0.433926456882015,0.4646506781276,0.0891683535564529,0.992179768206952,3.52040524832915,"2022–2024"
"56-65",13.5308499532433,12.8842105263158,11.1157894736842,0.386277449525322,0.457721313436446,0.138534756364229,0.985141502077216,3.7385239064004,"2007–2009"
"56-65",13.503679777271,12.8842105263158,11.1157894736842,0.384357052427953,0.46419944971345,0.136028266286039,0.9875409599958,3.72158775337503,"2010–2012"
"56-65",13.2815319769655,12.6315789473684,10.8631578947368,0.410086434271661,0.452402689070099,0.123603604105223,0.988622510440406,3.66757119609222,"2013–2015"
"56-65",13.3103636251846,12.8842105263158,11.3684210526316,0.394796541758641,0.463240476292491,0.126628285309872,0.989439923526149,3.74474097114392,"2016–2018"
"56-65",13.3761877330319,12.8842105263158,11.1157894736842,0.396456273692857,0.453192107840312,0.132180434259594,0.986212545009223,3.75316555087242,"2019–2021"
"56-65",13.151146180729,12.6315789473684,11.1157894736842,0.418651986827909,0.451920269594407,0.116914983028153,0.990201933164282,3.6563193946301,"2022–2024"
"66+",14.3208836418995,13.8947368421053,11.3684210526316,0.298982836107435,0.524685295612915,0.163434275446474,0.987426854490438,3.45343624535144,"2007–2009"
"66+",14.3211902467024,13.8947368421053,11.1157894736842,0.307102523767507,0.49781193162099,0.178358711831962,0.984135268973327,3.62036381824295,"2010–2012"
"66+",14.0841869690407,13.6421052631579,11.3684210526316,0.320209477554145,0.517843557875199,0.1518811908255,0.990307613456486,3.44232390817004,"2013–2015"
"66+",14.0498745973506,13.3894736842105,11.1157894736842,0.32506176985195,0.507223859785051,0.154789621139677,0.987638414405536,3.52612931968603,"2016–2018"
"66+",14.0940989054905,13.6421052631579,11.1157894736842,0.320073455502661,0.518672377460897,0.152960547138479,0.992379278265033,3.45638604318033,"2019–2021"
"66+",14.2520127898397,13.6421052631579,11.3684210526316,0.310242211777246,0.499456192890648,0.178915139069452,0.98973670915862,3.59672335474915,"2022–2024"
